GlobalLeftX,GlobalLeftY,GlobalRightX,GlobalRightY
8371,10493,8351,10493
8373,10615,8351,10629
8314,10655,8295,10662
8321,10774,8303,10779
8586,10774,8562,10781
8585,10661,8572,10669
8761,10776,8765,10750
8890,10758,8901,10734
8775,10862,8761,10839
8918,10825,8904,10813
8931,10872,8901,10874
8929,10931,8904,10944
9137,10933,9116,10942
9140,10863,9123,10888
9130,10807,9118,10825
8870,11014,8845,11022
8873,11082,8843,11073
8642,11082,8621,11070
8649,11012,8618,11008
8595,10982,8574,10987
8600,10931,8567,10930
8606,10872,8576,10855
10584,1356,10704,1155
10683,1403,10804,1190
10432,1397,10524,1205
10299,1523,10421,1319
10266,1736,10412,1574
10442,1916,10566,1689
10295,1436,10421,1247
10281,1270,10390,1118
10348,1296,10472,1144
11008,1254,11229,1141
13731,1231,13935,1106
13713,1279,13928,1139
13638,1371,13867,1209
13612,1520,13836,1397
13540,1488,13773,1364
13586,1429,13817,1321
13803,1186,14016,1053
13865,1319,14100,1209
13771,1396,13991,1268
13748,1413,13967,1286
13790,1460,14000,1328
13790,1338,14026,1221
13546,1607,13766,1494
13708,1875,13939,1749
14009,1522,14239,1385
13799,1282,14014,1156
13768,1929,13991,1826
13986,1238,14217,1148
14638,1894,14858,1803
14641,1967,14877,1871
14552,1880,14755,1784
14552,1939,14762,1824
14673,1810,14861,1700
14515,1579,14762,1508
14498,1467,14716,1342
14575,1425,14800,1326
14454,1483,14666,1364
14418,1646,14657,1567
14524,1787,14725,1695
14778,1756,14994,1656
14493,1307,14718,1203
14425,1237,14657,1116
15029,1656,15281,1576
14958,1784,15169,1686
14816,1859,15059,1757
14891,1974,15122,1866
15136,1831,15346,1754
14439,1854,14661,1785
14442,1888,14659,1827
14965,1644,15197,1563
14821,1607,15078,1527
14994,1494,15220,1417
14699,2018,14959,1964
14739,1960,15000,1904
14369,1588,14606,1499
14591,1686,14821,1600
14669,1654,14909,1548
16403,1364,16665,1319
16476,1542,16717,1466
16534,1619,16799,1532
16637,1508,16847,1450
16441,1452,16700,1392
16452,1322,16721,1266
16525,1298,16789,1231
16415,1231,16679,1207
16504,1202,16766,1172
16639,1163,16965,1123
16488,1602,16757,1511
16492,1757,16723,1646
16543,1813,16778,1724
16485,1845,16726,1754
16438,1789,16649,1684
16827,1513,17068,1452
16792,1621,17032,1537
16829,1635,17077,1551
16869,1527,17114,1462
16743,1766,16992,1667
16777,1777,17030,1682
16703,1868,16946,1796
16738,1878,16992,1808
16716,1951,16951,1894
16674,1941,16906,1885
16957,1162,17186,1127
16986,1174,17236,1137
16909,1293,17145,1237
16946,1303,17207,1251
16871,1403,17112,1350
16908,1411,17168,1357
16481,1146,16747,1099
16396,1174,16653,1125
16656,1097,16953,1048
20703,1789,21039,1766
21079,1890,21388,1897
20656,1932,20997,1881
20684,1829,21018,1824
21028,2042,21358,2009
21060,1941,21374,1946
20623,2025,20964,1993
20920,1093,21273,1062
20888,1836,21208,1838
20846,1986,21170,1953
20873,1888,21189,1887
20598,1459,20876,1467
20640,1293,20883,1251
20607,1375,20880,1361
20750,1263,20972,1142
22012,1822,22168,1817
22175,1857,22356,1812
22372,1908,22521,1843
21940,2027,22129,1979
21982,1929,22154,1895
22136,1976,22321,1929
